Alter_Besucher,Einkommen_Besucher,Geschlecht_Besucher,Zeit_Besucher,KundeNr,Alter_Kunden,Einkommen_Kunden,Preis,Geschlecht_Kunden,Zeit_Kunden,Niederlassung
52.0,68557.64272708262,weiblich,27.0,K1455,,,,,,Sachsen
37.0,51083.82595578743,weiblich,41.0,K1315,,,,,,Baden-Württemberg
51.0,52205.09243795647,weiblich,42.0,K1764,,,,,,Baden-Württemberg
68.0,96580.0635011618,weiblich,30.0,K1553,,,,,,Nordrhein-Westfalen
63.0,80825.88321852202,männlich,50.0,K1925,,,,,,Berlin
63.0,56999.12653841968,männlich,50.0,K1465,,,,,,Berlin
66.0,64794.72727631589,männlich,35.0,K1907,,,,,,Berlin
50.0,75601.52855545645,weiblich,31.0,K1385,,,,,,Thüringen
35.0,32469.35249836007,männlich,24.0,K1690,,,,,,Bayern
53.0,51711.710837452105,männlich,37.0,K1175,,,,,,Baden-Württemberg
62.0,75231.17792161655,männlich,44.0,K1404,,,,,,Baden-Württemberg
39.0,37428.11758655559,männlich,37.0,K1316,,,,,,Niedersachsen
53.0,75785.76768077022,weiblich,49.0,K1149,,,,,,Bayern
39.0,30485.188253072083,männlich,44.0,K1513,,,,,,Hamburg
60.0,70853.5645440371,männlich,30.0,K1551,,,,,,Baden-Württemberg
41.0,57516.90250700793,männlich,39.0,K1531,,,,,,Berlin
37.0,66419.24826812533,männlich,28.0,K1273,,,,,,Thüringen
45.0,62279.13133366568,männlich,27.0,K1301,,,,,,Baden-Württemberg
52.0,70297.21359638925,weiblich,51.0,K1877,,,,,,Nordrhein-Westfalen
37.0,65034.99740020256,männlich,44.0,K1177,,,,,,Niedersachsen
36.0,41668.05410643508,weiblich,40.0,K1527,,,,,,Bayern
43.0,49480.57828968764,männlich,23.0,K1637,,,,,,Baden-Württemberg
54.0,56292.71084855829,männlich,36.0,K1696,,,,,,Hamburg
67.0,78307.64635377112,weiblich,35.0,K1417,,,,,,Hamburg
37.0,43614.88262792917,männlich,34.0,K1416,,,,,,Bayern
49.0,76602.7888395788,männlich,19.0,K1994,,,,,,Berlin
42.0,58051.95657742942,weiblich,25.0,K1940,,,,,,Baden-Württemberg
46.0,51857.86016658747,männlich,44.0,K1938,,,,,,Nordrhein-Westfalen
68.0,79291.161811527,weiblich,36.0,K1710,,,,,,Nordrhein-Westfalen
70.0,76105.63448490306,weiblich,25.0,K1872,,,,,,Hessen
58.0,68691.18132399686,männlich,37.0,K1644,,,,,,Nordrhein-Westfalen
43.0,48849.87079024495,weiblich,36.0,K1462,,,,,,Brandenburg
65.0,92223.18914804253,männlich,41.0,K1359,,,,,,Baden-Württemberg
69.0,85613.26171212798,männlich,28.0,K1371,,,,,,Hessen
47.0,53430.97175074282,männlich,30.0,K1171,,,,,,Berlin
41.0,34560.061178587945,weiblich,34.0,K1424,,,,,,Baden-Württemberg
38.0,46846.64631106874,weiblich,46.0,K1883,,,,,,Baden-Württemberg
44.0,53482.31220036104,männlich,33.0,K1279,,,,,,Bayern
35.0,29395.6414486515,männlich,28.0,K1598,,,,,,Baden-Württemberg
40.0,68282.04611732642,männlich,15.0,K1320,,,,,,Hamburg
45.0,66573.48650260495,weiblich,52.0,K1414,,,,,,Nordrhein-Westfalen
39.0,44825.252298298255,weiblich,45.0,K1927,,,,,,Baden-Württemberg
38.0,40638.12381960798,männlich,46.0,K1355,,,,,,Baden-Württemberg
61.0,75680.8569455791,männlich,42.0,K1270,,,,,,Sachsen
37.0,39528.49075947741,männlich,19.0,K1646,,,,,,Bayern
32.0,44270.051947941305,männlich,45.0,K1730,,,,,,Niedersachsen
70.0,74005.80908584956,weiblich,42.0,K1493,,,,,,Baden-Württemberg
34.0,43060.345548235055,männlich,32.0,K1181,,,,,,Nordrhein-Westfalen
60.0,71786.3601761889,männlich,36.0,K1386,,,,,,Bayern
48.0,60260.01950308245,weiblich,30.0,K1817,,,,,,Berlin
37.0,45165.04142331776,männlich,36.0,K1443,,,,,,Bayern
68.0,98083.36958703487,männlich,22.0,K1432,,,,,,Berlin
44.0,43990.60139928602,männlich,35.0,K1426,,,,,,Brandenburg
48.0,54965.091031366464,männlich,30.0,K1650,,,,,,Niedersachsen
53.0,53797.07241160214,männlich,24.0,K1695,,,,,,Hessen
61.0,75646.61434612492,männlich,45.0,K1396,,,,,,Bayern
67.0,85750.07554566991,weiblich,41.0,K1570,,,,,,Nordrhein-Westfalen
49.0,49362.35856757959,weiblich,36.0,K1919,,,,,,Thüringen
40.0,39581.24530431099,männlich,5.0,K1547,,,,,,Niedersachsen
53.0,72005.35624913589,weiblich,27.0,K1775,,,,,,Nordrhein-Westfalen
50.0,64799.99968190091,männlich,35.0,K1567,,,,,,Thüringen
54.0,73773.47238829928,männlich,23.0,K1391,,,,,,Berlin
49.0,51990.8572650111,männlich,29.0,K1314,,,,,,Berlin
40.0,62840.37452322088,weiblich,35.0,K1774,,,,,,Nordrhein-Westfalen
30.0,46686.48822885003,männlich,36.0,K1332,,,,,,Sachsen
35.0,42664.92693348081,weiblich,34.0,K1954,,,,,,Nordrhein-Westfalen
65.0,78027.33356866369,männlich,12.0,K1617,,,,,,Niedersachsen
54.0,54771.81984576158,weiblich,26.0,K1632,,,,,,Baden-Württemberg
61.0,79526.72258325989,männlich,62.0,K1981,,,,,,Baden-Württemberg
36.0,32281.857537934036,männlich,52.0,K1201,,,,,,Hessen
32.0,31010.60371272385,weiblich,42.0,K1397,,,,,,Baden-Württemberg
68.0,78362.67406137298,weiblich,21.0,K1428,,,,,,Baden-Württemberg
51.0,56457.4891364143,weiblich,28.0,K1841,,,,,,Nordrhein-Westfalen
68.0,74860.98577194301,weiblich,20.0,K1634,,,,,,Bayern
54.0,68635.79438556149,weiblich,29.0,K1323,,,,,,Baden-Württemberg
61.0,61246.32697749902,weiblich,45.0,K1380,,,,,,Nordrhein-Westfalen
63.0,69114.66674485385,weiblich,39.0,K1183,,,,,,Hamburg
58.0,76153.05437383783,weiblich,25.0,K1890,,,,,,Bayern
41.0,39145.70180758025,männlich,40.0,K1709,,,,,,Hessen
45.0,34526.57020159587,männlich,17.0,K1901,,,,,,Baden-Württemberg
47.0,61173.93565537098,männlich,37.0,K1244,,,,,,Niedersachsen
35.0,40070.02223199869,männlich,47.0,K1683,,,,,,Bayern
47.0,61411.10701386299,männlich,21.0,K1599,,,,,,Bayern
66.0,76131.40623392163,weiblich,42.0,K1464,,,,,,Sachsen
57.0,52580.65881183184,männlich,29.0,K1170,,,,,,Bayern
31.0,59163.82368118809,männlich,32.0,K1586,,,,,,Baden-Württemberg
63.0,74054.70619267496,weiblich,43.0,K1882,,,,,,Nordrhein-Westfalen
30.0,47051.43409867171,männlich,23.0,K1704,,,,,,Baden-Württemberg
57.0,75169.08296945898,weiblich,44.0,K1935,,,,,,Thüringen
49.0,53203.21029404359,weiblich,44.0,K1411,,,,,,Hessen
64.0,74726.84924898707,männlich,55.0,K1336,,,,,,Bayern
37.0,60309.95951774383,weiblich,38.0,K1950,,,,,,Baden-Württemberg
40.0,56212.03314278404,männlich,39.0,K1154,,,,,,Bayern
50.0,46631.75790296047,männlich,36.0,K1757,,,,,,Bayern
49.0,56491.65443727993,weiblich,25.0,K1959,,,,,,Baden-Württemberg
51.0,46713.49462194787,weiblich,34.0,K1447,,,,,,Berlin
37.0,37001.8597858101,männlich,29.0,K1699,,,,,,Bayern
34.0,46611.89681382488,männlich,34.0,K1990,,,,,,Berlin
36.0,39625.21727597255,männlich,55.0,K1521,,,,,,Bayern
70.0,97897.0505433718,männlich,60.0,K1318,,,,,,Berlin
43.0,68343.42995828904,männlich,32.0,K1138,,,,,,Nordrhein-Westfalen
59.0,68648.91021070804,männlich,32.0,K1136,,,,,,Nordrhein-Westfalen
34.0,42021.351206703584,weiblich,36.0,K1773,,,,,,Brandenburg
66.0,78363.1815844051,männlich,26.0,K1689,,,,,,Baden-Württemberg
55.0,67416.14051817694,männlich,31.0,K1619,,,,,,Nordrhein-Westfalen
57.0,75132.69871427603,weiblich,41.0,K1793,,,,,,Bayern
52.0,54277.20247138504,männlich,48.0,K1214,,,,,,Nordrhein-Westfalen
62.0,83975.47424607084,weiblich,33.0,K1182,,,,,,Bayern
42.0,60427.7317067945,männlich,44.0,K1716,,,,,,Sachsen
67.0,87075.0424976642,männlich,59.0,K1748,,,,,,Niedersachsen
55.0,76311.86352250354,männlich,41.0,K1187,,,,,,Baden-Württemberg
31.0,38298.53365217667,männlich,3.0,K1623,,,,,,Nordrhein-Westfalen
33.0,35653.84321707804,weiblich,26.0,K1762,,,,,,Nordrhein-Westfalen
37.0,51507.44213419635,weiblich,34.0,K1401,,,,,,Niedersachsen
43.0,58161.76456569998,männlich,31.0,K1612,,,,,,Nordrhein-Westfalen
30.0,38642.9176274666,männlich,35.0,K1913,,,,,,Bayern
46.0,56617.21612666908,weiblich,31.0,K1480,,,,,,Hessen
37.0,38266.32199296525,männlich,36.0,K1110,,,,,,Baden-Württemberg
41.0,52447.560235608296,männlich,48.0,K1159,,,,,,Sachsen
48.0,63015.20260611034,weiblich,50.0,K1503,,,,,,Berlin
45.0,44514.71192462543,männlich,37.0,K1562,,,,,,Berlin
33.0,20924.68796076063,männlich,36.0,K1626,,,,,,Baden-Württemberg
62.0,77172.3477368733,männlich,36.0,K1468,,,,,,Baden-Württemberg
67.0,68054.56279480796,weiblich,40.0,K1202,,,,,,Niedersachsen
46.0,57346.43603357197,männlich,32.0,K1522,,,,,,Hamburg
52.0,74487.88940711174,männlich,41.0,K1677,,,,,,Bayern
46.0,54308.48613322938,männlich,32.0,K1957,,,,,,Brandenburg
48.0,68669.40274374136,männlich,41.0,K1538,,,,,,Niedersachsen
54.0,70603.6396479521,männlich,13.0,K1878,,,,,,Sachsen
44.0,46191.87896569637,männlich,45.0,K1130,,,,,,Baden-Württemberg
63.0,66297.52548713186,weiblich,43.0,K1189,,,,,,Niedersachsen
47.0,46132.94535081172,männlich,38.0,K1115,,,,,,Nordrhein-Westfalen
35.0,55240.05100480306,weiblich,24.0,K1436,,,,,,Nordrhein-Westfalen
66.0,78220.57773084576,weiblich,41.0,K1838,,,,,,Sachsen
52.0,67495.80152171961,männlich,25.0,K1487,,,,,,Nordrhein-Westfalen
36.0,48519.26595769286,männlich,30.0,K1809,,,,,,Baden-Württemberg
33.0,44999.01911189909,weiblich,18.0,K1918,,,,,,Baden-Württemberg
54.0,49679.673812958754,weiblich,24.0,K1223,,,,,,Sachsen
45.0,51504.42714273189,männlich,50.0,K1641,,,,,,Baden-Württemberg
40.0,57367.42919749243,männlich,31.0,K1466,,,,,,Baden-Württemberg
61.0,80750.62261107466,weiblich,24.0,K1134,,,,,,Sachsen
57.0,63456.62655121073,weiblich,45.0,K1160,,,,,,Bayern
52.0,45802.02820555963,männlich,25.0,K1970,,,,,,Baden-Württemberg
53.0,58520.52013258997,weiblich,20.0,K1700,,,,,,Brandenburg
51.0,56254.19697173916,weiblich,17.0,K1344,,,,,,Berlin
68.0,77479.77370987926,weiblich,45.0,K1826,,,,,,Baden-Württemberg
68.0,80288.19633710348,männlich,19.0,K1186,,,,,,Brandenburg
42.0,37936.97963079064,weiblich,30.0,K1364,,,,,,Sachsen
57.0,50221.96278036853,männlich,47.0,K1591,,,,,,Bayern
38.0,48379.32276693023,männlich,43.0,K1821,,,,,,Thüringen
69.0,98029.0012254466,männlich,37.0,K1905,,,,,,Bayern
66.0,82388.15906332547,weiblich,34.0,K1886,,,,,,Hessen
53.0,69200.65406495638,weiblich,25.0,K1647,,,,,,Berlin
54.0,59334.765842262015,weiblich,34.0,K1431,,,,,,Baden-Württemberg
46.0,49472.2553883599,männlich,36.0,K1639,,,,,,Bayern
50.0,61480.98123663141,männlich,44.0,K1640,,,,,,Baden-Württemberg
33.0,54044.93494557665,weiblich,30.0,K1588,,,,,,Bayern
50.0,66940.78999582701,weiblich,32.0,K1867,,,,,,Thüringen
65.0,74982.30954012758,weiblich,27.0,K1638,,,,,,Hessen
65.0,62675.60049141745,männlich,33.0,K1818,,,,,,Baden-Württemberg
65.0,85235.07133486084,männlich,44.0,K1495,,,,,,Nordrhein-Westfalen
39.0,23109.88057358736,männlich,39.0,K1600,,,,,,Sachsen
48.0,55111.1738291915,männlich,31.0,K1587,,,,,,Nordrhein-Westfalen
64.0,74797.71960677873,weiblich,28.0,K1482,,,,,,Niedersachsen
63.0,66343.41078153354,männlich,53.0,K1470,,,,,,Baden-Württemberg
50.0,58484.54039041646,männlich,40.0,K1517,,,,,,Thüringen
66.0,88621.24191112188,weiblich,44.0,K1573,,,,,,Hessen
36.0,30932.04803160049,weiblich,43.0,K1514,,,,,,Baden-Württemberg
64.0,70306.34919789399,männlich,36.0,K1112,,,,,,Berlin
53.0,49633.94504662924,männlich,30.0,K1685,,,,,,Nordrhein-Westfalen
66.0,69331.45165711388,weiblich,32.0,K1260,,,,,,Baden-Württemberg
37.0,51799.464698996206,weiblich,40.0,K1985,,,,,,Baden-Württemberg
38.0,51013.21862383295,männlich,49.0,K1530,,,,,,Nordrhein-Westfalen
60.0,77364.77312129164,weiblich,34.0,K1206,,,,,,Bayern
62.0,69519.57087189915,weiblich,31.0,K1304,,,,,,Sachsen
40.0,52774.29440970104,weiblich,41.0,K1529,,,,,,Hessen
56.0,70615.54950914938,weiblich,15.0,K1403,,,,,,Brandenburg
39.0,43354.50180165668,weiblich,28.0,K1989,,,,,,Bayern
68.0,89005.39288890261,weiblich,22.0,K1352,,,,,,Baden-Württemberg
35.0,39196.70589672828,männlich,26.0,K1583,,,,,,Bayern
58.0,74550.6202554913,weiblich,32.0,K1410,,,,,,Niedersachsen
65.0,83198.24248402342,männlich,47.0,K1421,,,,,,Berlin
33.0,45748.42693618564,männlich,55.0,K1107,,,,,,Niedersachsen
47.0,79607.66735450045,männlich,47.0,K1510,,,,,,Berlin
47.0,59352.78068693205,männlich,14.0,K1847,,,,,,Baden-Württemberg
60.0,55814.79620631314,männlich,27.0,K1365,,,,,,Baden-Württemberg
52.0,66108.25385529606,männlich,41.0,K1472,,,,,,Thüringen
69.0,85175.91833307281,männlich,31.0,K1263,,,,,,Nordrhein-Westfalen
42.0,54182.115014181705,männlich,26.0,K1659,,,,,,Nordrhein-Westfalen
44.0,52096.75434082368,männlich,45.0,K1934,,,,,,Nordrhein-Westfalen
55.0,88482.68247002398,männlich,26.0,K1782,,,,,,Berlin
56.0,83787.01049645299,weiblich,27.0,K1485,,,,,,Niedersachsen
40.0,38822.673540278105,weiblich,18.0,K1731,,,,,,Berlin
56.0,66000.85802185375,weiblich,32.0,K1407,,,,,,Berlin
52.0,33297.75882314246,weiblich,18.0,K1537,,,,,,Nordrhein-Westfalen
65.0,68211.38298720564,männlich,20.0,K1627,,,,,,Berlin
37.0,50176.78491659571,männlich,31.0,K1509,,,,,,Bayern
38.0,48780.18090135144,männlich,18.0,K1948,,,,,,Niedersachsen
37.0,41519.40253088631,männlich,33.0,K1460,,,,,,Bayern
36.0,50243.04319986396,männlich,48.0,K1569,,,,,,Nordrhein-Westfalen
31.0,26018.930843729628,weiblich,32.0,K1858,,,,,,Baden-Württemberg
38.0,44672.54475227276,weiblich,36.0,K1317,,,,,,Bayern
44.0,50981.53330613676,weiblich,21.0,K1554,,,,,,Sachsen
59.0,70012.55646857031,männlich,39.0,K1184,,,,,,Baden-Württemberg
38.0,29787.61073967547,männlich,47.0,K1253,,,,,,Hamburg
33.0,35350.734563498816,männlich,24.0,K1533,,,,,,Hessen
63.0,60561.8096538407,männlich,38.0,K1165,,,,,,Bayern
49.0,58250.254832502986,männlich,25.0,K1765,,,,,,Baden-Württemberg
47.0,56933.67295901219,männlich,42.0,K1909,,,,,,Baden-Württemberg
51.0,54872.34097614113,weiblich,40.0,K1693,,,,,,Bayern
64.0,85441.92783839643,weiblich,42.0,K1870,,,,,,Sachsen
60.0,67965.91123144886,männlich,29.0,K1370,,,,,,Bayern
48.0,48300.49016663392,männlich,28.0,K1238,,,,,,Baden-Württemberg
63.0,86198.61197070724,weiblich,32.0,K1813,,,,,,Nordrhein-Westfalen
54.0,53806.64986546736,weiblich,37.0,K1649,,,,,,Sachsen
57.0,78842.38490612834,weiblich,24.0,K1451,,,,,,Berlin
68.0,86965.51716221104,weiblich,15.0,K1926,,,,,,Berlin
47.0,50383.0035146331,männlich,35.0,K1738,,,,,,Baden-Württemberg
31.0,59163.82368118809,männlich,25.0,K1561,,,,,,Brandenburg
42.0,54815.06292960715,weiblich,34.0,K1605,,,,,,Baden-Württemberg
57.0,60410.81774322362,männlich,33.0,K1535,,,,,,Baden-Württemberg
42.0,49912.5133607232,männlich,26.0,K1550,,,,,,Sachsen
48.0,51462.33449658315,männlich,20.0,K1755,,,,,,Niedersachsen
64.0,67482.49163937743,männlich,10.0,K1277,,,,,,Bayern
40.0,59391.907257758285,weiblich,37.0,K1555,,,,,,Brandenburg
58.0,71796.78375066351,männlich,26.0,K1419,,,,,,Berlin
64.0,85476.75002498372,männlich,27.0,K1437,,,,,,Hamburg
67.0,94337.55474285186,männlich,27.0,K1906,,,,,,Hessen
57.0,52369.614786572805,männlich,42.0,K1195,,,,,,Thüringen
63.0,71786.86963567701,männlich,40.0,K1939,,,,,,Bayern
40.0,39209.6501341634,weiblich,43.0,K1286,,,,,,Sachsen
41.0,50331.80083448773,weiblich,48.0,K1686,,,,,,Niedersachsen
33.0,47738.79992886855,männlich,47.0,K1900,,,,,,Baden-Württemberg
57.0,51230.94265343794,männlich,28.0,K1174,,,,,,Sachsen
62.0,64399.17380839598,weiblich,18.0,K1236,,,,,,Berlin
67.0,71626.52688470876,männlich,29.0,K1439,,,,,,Bayern
35.0,50926.48935086532,männlich,35.0,K1702,,,,,,Sachsen
51.0,66518.30950340244,männlich,22.0,K1240,,,,,,Nordrhein-Westfalen
69.0,80266.5197570841,männlich,36.0,K1269,,,,,,Niedersachsen
46.0,42528.58264935153,weiblich,44.0,K1133,,,,,,Nordrhein-Westfalen
63.0,75258.5882756021,weiblich,50.0,K1888,,,,,,Thüringen
44.0,50005.002649598144,weiblich,23.0,K1298,,,,,,Bayern
39.0,35225.29630047012,weiblich,48.0,K1974,,,,,,Niedersachsen
33.0,24242.6013961693,männlich,42.0,K1820,,,,,,Berlin
42.0,54485.35271297408,männlich,33.0,K1630,,,,,,Bayern
65.0,81926.49851495633,männlich,48.0,K1486,,,,,,Bayern
40.0,51957.04750970712,männlich,16.0,K1245,,,,,,Sachsen
36.0,47469.13210184134,männlich,18.0,K1278,,,,,,Bayern
38.0,50640.423932004334,männlich,28.0,K1111,,,,,,Bayern
51.0,55860.34134441505,männlich,44.0,K1823,,,,,,Baden-Württemberg
66.0,68505.92715813697,weiblich,37.0,K1790,,,,,,Bayern
33.0,31654.70931020863,männlich,31.0,K1178,,,,,,Bayern
44.0,54025.601631232574,männlich,30.0,K1987,,,,,,Nordrhein-Westfalen
47.0,61371.86037427834,männlich,42.0,K1433,,,,,,Bayern
33.0,37067.78183567922,männlich,47.0,K1558,,,,,,Nordrhein-Westfalen
58.0,62171.39083962616,männlich,26.0,K1250,,,,,,Baden-Württemberg
67.0,76785.41565787853,männlich,15.0,K1339,,,,,,Hessen
40.0,35558.52295367206,weiblich,31.0,K1325,,,,,,Baden-Württemberg
32.0,20329.572188555016,männlich,30.0,K1475,,,,,,Bayern
30.0,29694.36967212773,männlich,30.0,K1916,,,,,,Niedersachsen
39.0,63156.4607924843,männlich,41.0,K1237,,,,,,Berlin
59.0,71024.577322895,weiblich,28.0,K1799,,,,,,Hessen
51.0,70533.4440736586,männlich,7.0,K1969,,,,,,Baden-Württemberg
67.0,86403.29453956797,männlich,29.0,K1290,,,,,,Hessen
47.0,67161.18295243074,männlich,36.0,K1146,,,,,,Berlin
31.0,54066.71490277438,weiblich,45.0,K1652,,,,,,Bayern
36.0,29204.045820516767,weiblich,27.0,K1213,,,,,,Bayern
40.0,59102.57639746197,weiblich,29.0,K1708,,,,,,Bayern
69.0,78816.42539608196,weiblich,61.0,K1161,,,,,,Nordrhein-Westfalen
69.0,79027.08313244994,männlich,24.0,K1499,,,,,,Berlin
38.0,66319.92238394536,weiblich,43.0,K1811,,,,,,Baden-Württemberg
51.0,71227.25924976716,männlich,33.0,K1654,,,,,,Hessen
31.0,35916.95084009938,männlich,34.0,K1129,,,,,,Bayern
38.0,44788.123878098384,männlich,22.0,K1456,,,,,,Sachsen
65.0,73604.96746986441,männlich,45.0,K1534,,,,,,Berlin
66.0,65216.98045790985,männlich,13.0,K1539,,,,,,Baden-Württemberg
53.0,58268.38455170221,weiblich,57.0,K1156,,,,,,Niedersachsen
66.0,81322.77755624868,männlich,42.0,K1631,,,,,,Thüringen
52.0,59034.50276222728,weiblich,22.0,K1921,,,,,,Berlin
46.0,54677.38676147014,weiblich,37.0,K1674,,,,,,Thüringen
44.0,49839.08323147287,männlich,31.0,K1369,,,,,,Baden-Württemberg
53.0,70483.67913038879,männlich,18.0,K1541,,,,,,Baden-Württemberg
70.0,86136.18828412276,weiblich,39.0,K1718,,,,,,Baden-Württemberg
41.0,46277.31482345062,männlich,14.0,K1798,,,,,,Bayern
58.0,83377.64375055519,männlich,25.0,K1457,,,,,,Nordrhein-Westfalen
43.0,38133.969015536415,weiblich,27.0,K1123,,,,,,Baden-Württemberg
43.0,61618.7453207506,männlich,24.0,K1771,,,,,,Bayern
52.0,66931.62974555178,männlich,26.0,K1687,,,,,,Baden-Württemberg
66.0,82714.59944611686,weiblich,16.0,K1188,,,,,,Nordrhein-Westfalen
40.0,49390.74203480306,männlich,51.0,K1166,,,,,,Nordrhein-Westfalen
38.0,46307.32262091811,männlich,33.0,K1377,,,,,,Hessen
57.0,84130.8361121828,männlich,56.0,K1390,,,,,,Nordrhein-Westfalen
61.0,61255.99192759155,weiblich,22.0,K1800,,,,,,Niedersachsen
66.0,64549.900810909385,männlich,26.0,K1851,,,,,,Sachsen
37.0,37026.70345003768,weiblich,52.0,K1117,,,,,,Thüringen
37.0,41986.47519256367,weiblich,42.0,K1287,,,,,,Bayern
58.0,63296.69034048032,männlich,17.0,K1549,,,,,,Baden-Württemberg
51.0,67323.14564444456,weiblich,46.0,K1657,,,,,,Berlin
55.0,63084.95068724524,weiblich,34.0,K1328,,,,,,Baden-Württemberg
66.0,84640.6305637355,männlich,34.0,K1618,,,,,,Berlin
57.0,81289.8813692296,weiblich,31.0,K1733,,,,,,Berlin
35.0,44388.74911272415,männlich,30.0,K1692,,,,,,Baden-Württemberg
43.0,49717.79872938432,männlich,46.0,K1797,,,,,,Niedersachsen
35.0,41206.23466424097,weiblich,39.0,K1628,,,,,,Sachsen
62.0,72706.64550804085,weiblich,50.0,K1769,,,,,,Nordrhein-Westfalen
54.0,72310.20137385467,männlich,35.0,K1281,,,,,,Berlin
60.0,74192.86253782813,männlich,25.0,K1946,,,,,,Berlin
31.0,40364.83289990759,weiblich,20.0,K1783,,,,,,Niedersachsen
62.0,77712.60659770755,weiblich,29.0,K1268,,,,,,Hessen
55.0,66068.47971681332,männlich,35.0,K1353,,,,,,Hessen
69.0,78275.28507069028,männlich,30.0,K1675,,,,,,Thüringen
65.0,75316.25436063616,männlich,43.0,K1892,,,,,,Nordrhein-Westfalen
56.0,58982.6724132594,männlich,16.0,K1179,,,,,,Bayern
38.0,46195.15314751832,männlich,26.0,K1218,,,,,,Bayern
70.0,69727.40958594189,männlich,35.0,K1740,,,,,,Brandenburg
66.0,79151.82942397373,männlich,35.0,K1606,,,,,,Nordrhein-Westfalen
40.0,67881.40169559825,weiblich,41.0,K1209,,,,,,Baden-Württemberg
47.0,52534.52360667457,weiblich,50.0,K1219,,,,,,Berlin
36.0,41110.880943472206,männlich,36.0,K1473,,,,,,Baden-Württemberg
67.0,75807.6559482063,männlich,46.0,K1197,,,,,,Baden-Württemberg
40.0,39443.816099458985,männlich,48.0,K1602,,,,,,Niedersachsen
68.0,64541.87849781089,weiblich,31.0,K1194,,,,,,Hessen
47.0,52745.12664226462,weiblich,24.0,K1441,,,,,,Hamburg
