KundeNr,Alter,Geschlecht,Zeit,Einkommen,Preis,Niederlassung
K1431,54,0,"34,0","59334,765842262015",,Baden-Württemberg
K1639,46,1,"36,0","49472,2553883599",,Bayern
K1640,50,1,"44,0","61480,98123663141",,Baden-Württemberg
K1588,33,0,"30,0","54044,93494557665",,Bayern
K1867,50,0,"32,0","66940,78999582701",,Thüringen
K1638,65,0,"27,0","74982,30954012758",,Hessen
K1818,65,1,"33,0","62675,60049141745",,Baden-Württemberg
K1495,65,1,"44,0","85235,07133486084",,Nordrhein-Westfalen
K1600,39,1,"39,0","23109,88057358736",,Sachsen
K1587,48,1,"31,0","55111,1738291915",,Nordrhein-Westfalen
K1482,64,0,"28,0","74797,71960677873",,Niedersachsen
K1470,63,1,"53,0","66343,41078153354",,Baden-Württemberg
K1517,50,1,"40,0","58484,54039041646",,Thüringen
K1573,66,0,"44,0","88621,24191112188",,Hessen
K1514,36,0,"43,0","30932,04803160049",,Baden-Württemberg
K1112,64,1,"36,0","70306,34919789399",,Berlin
K1685,53,1,"30,0","49633,94504662924",,Nordrhein-Westfalen
K1260,66,0,"32,0","69331,45165711388",,Baden-Württemberg
K1985,37,0,"40,0","51799,464698996206",,Baden-Württemberg
K1530,38,1,"49,0","51013,21862383295",,Nordrhein-Westfalen
K1206,60,0,"34,0","77364,77312129164",,Bayern
K1304,62,0,"31,0","69519,57087189915",,Sachsen
K1529,40,0,"41,0","52774,29440970104",,Hessen
K1403,56,0,"15,0","70615,54950914938",,Brandenburg
K1989,39,0,"28,0","43354,50180165668",,Bayern
K1352,68,0,"22,0","89005,39288890261",,Baden-Württemberg
K1583,35,1,"26,0","39196,70589672828",,Bayern
K1410,58,0,"32,0","74550,6202554913",,Niedersachsen
K1421,65,1,"47,0","83198,24248402342",,Berlin
K1107,33,1,"55,0","45748,42693618564",,Niedersachsen
K1510,47,1,"47,0","79607,66735450045",,Berlin
K1847,47,1,"14,0","59352,78068693205",,Baden-Württemberg
K1365,60,1,"27,0","55814,79620631314",,Baden-Württemberg
K1472,52,1,"41,0","66108,25385529606",,Thüringen
K1263,69,1,"31,0","85175,91833307281",,Nordrhein-Westfalen
K1659,42,1,"26,0","54182,115014181705",,Nordrhein-Westfalen
K1934,44,1,"45,0","52096,75434082368",,Nordrhein-Westfalen
K1782,55,1,"26,0","88482,68247002398",,Berlin
K1485,56,0,"27,0","83787,01049645299",,Niedersachsen
K1731,40,0,"18,0","38822,673540278105",,Berlin
K1407,56,0,"32,0","66000,85802185375",,Berlin
K1537,52,0,"18,0","33297,75882314246",,Nordrhein-Westfalen
K1627,65,1,"20,0","68211,38298720564",,Berlin
K1509,37,1,"31,0","50176,78491659571",,Bayern
K1948,38,1,"18,0","48780,18090135144",,Niedersachsen
K1460,37,1,"33,0","41519,40253088631",,Bayern
K1569,36,1,"48,0","50243,04319986396",,Nordrhein-Westfalen
K1858,31,0,"32,0","26018,930843729628",,Baden-Württemberg
K1317,38,0,"36,0","44672,54475227276",,Bayern
K1554,44,0,"21,0","50981,53330613676",,Sachsen
K1184,59,1,"39,0","70012,55646857031",,Baden-Württemberg
K1253,38,1,"47,0","29787,61073967547",,Hamburg
K1533,33,1,"24,0","35350,734563498816",,Hessen
K1165,63,1,"38,0","60561,8096538407",,Bayern
K1765,49,1,"25,0","58250,254832502986",,Baden-Württemberg
K1909,47,1,"42,0","56933,67295901219",,Baden-Württemberg
K1693,51,0,"40,0","54872,34097614113",,Bayern
K1870,64,0,"42,0","85441,92783839643",,Sachsen
K1370,60,1,"29,0","67965,91123144886",,Bayern
K1238,48,1,"28,0","48300,49016663392",,Baden-Württemberg
K1813,63,0,"32,0","86198,61197070724",,Nordrhein-Westfalen
K1649,54,0,"37,0","53806,64986546736",,Sachsen
K1451,57,0,"24,0","78842,38490612834",,Berlin
K1926,68,0,"15,0","86965,51716221104",,Berlin
K1738,47,1,"35,0","50383,0035146331",,Baden-Württemberg
K1561,31,1,"25,0","59163,82368118809",,Brandenburg
K1605,42,0,"34,0","54815,06292960715",,Baden-Württemberg
K1535,57,1,"33,0","60410,81774322362",,Baden-Württemberg
K1550,42,1,"26,0","49912,5133607232",,Sachsen
K1755,48,1,"20,0","51462,33449658315",,Niedersachsen
K1277,64,1,"10,0","67482,49163937743",,Bayern
K1555,40,0,"37,0","59391,907257758285",,Brandenburg
K1419,58,1,"26,0","71796,78375066351",,Berlin
K1437,64,1,"27,0","85476,75002498372",,Hamburg
K1906,67,1,"27,0","94337,55474285186",,Hessen
K1195,57,1,"42,0","52369,614786572805",,Thüringen
K1939,63,1,"40,0","71786,86963567701",,Bayern
K1286,40,0,"43,0","39209,6501341634",,Sachsen
K1686,41,0,"48,0","50331,80083448773",,Niedersachsen
K1900,33,1,"47,0","47738,79992886855",,Baden-Württemberg
K1174,57,1,"28,0","51230,94265343794",,Sachsen
K1236,62,0,"18,0","64399,17380839598",,Berlin
K1439,67,1,"29,0","71626,52688470876",,Bayern
K1702,35,1,"35,0","50926,48935086532",,Sachsen
K1240,51,1,"22,0","66518,30950340244",,Nordrhein-Westfalen
K1269,69,1,"36,0","80266,5197570841",,Niedersachsen
K1133,46,0,"44,0","42528,58264935153",,Nordrhein-Westfalen
K1888,63,0,"50,0","75258,5882756021",,Thüringen
K1298,44,0,"23,0","50005,002649598144",,Bayern
K1974,39,0,"48,0","35225,29630047012",,Niedersachsen
K1820,33,1,"42,0","24242,6013961693",,Berlin
K1630,42,1,"33,0","54485,35271297408",,Bayern
K1486,65,1,"48,0","81926,49851495633",,Bayern
K1245,40,1,"16,0","51957,04750970712",,Sachsen
K1278,36,1,"18,0","47469,13210184134",,Bayern
K1111,38,1,"28,0","50640,423932004334",,Bayern
K1823,51,1,"44,0","55860,34134441505",,Baden-Württemberg
K1790,66,0,"37,0","68505,92715813697",,Bayern
K1178,33,1,"31,0","31654,70931020863",,Bayern
K1987,44,1,"30,0","54025,601631232574",,Nordrhein-Westfalen
K1433,47,1,"42,0","61371,86037427834",,Bayern
K1558,33,1,"47,0","37067,78183567922",,Nordrhein-Westfalen
K1250,58,1,"26,0","62171,39083962616",,Baden-Württemberg
K1339,67,1,"15,0","76785,41565787853",,Hessen
K1325,40,0,"31,0","35558,52295367206",,Baden-Württemberg
K1475,32,1,"30,0","20329,572188555016",,Bayern
K1916,30,1,"30,0","29694,36967212773",,Niedersachsen
K1237,39,1,"41,0","63156,4607924843",,Berlin
K1799,59,0,"28,0","71024,577322895",,Hessen
K1969,51,1,"7,0","70533,4440736586",,Baden-Württemberg
K1290,67,1,"29,0","86403,29453956797",,Hessen
K1146,47,1,"36,0","67161,18295243074",,Berlin
K1652,31,0,"45,0","54066,71490277438",,Bayern
K1213,36,0,"27,0","29204,045820516767",,Bayern
K1708,40,0,"29,0","59102,57639746197",,Bayern
K1161,69,0,"61,0","78816,42539608196",,Nordrhein-Westfalen
K1499,69,1,"24,0","79027,08313244994",,Berlin
K1811,38,0,"43,0","66319,92238394536",,Baden-Württemberg
K1654,51,1,"33,0","71227,25924976716",,Hessen
K1129,31,1,"34,0","35916,95084009938",,Bayern
K1456,38,1,"22,0","44788,123878098384",,Sachsen
K1534,65,1,"45,0","73604,96746986441",,Berlin
K1539,66,1,"13,0","65216,98045790985",,Baden-Württemberg
K1156,53,0,"57,0","58268,38455170221",,Niedersachsen
K1631,66,1,"42,0","81322,77755624868",,Thüringen
K1921,52,0,"22,0","59034,50276222728",,Berlin
K1674,46,0,"37,0","54677,38676147014",,Thüringen
K1369,44,1,"31,0","49839,08323147287",,Baden-Württemberg
K1541,53,1,"18,0","70483,67913038879",,Baden-Württemberg
K1718,70,0,"39,0","86136,18828412276",,Baden-Württemberg
K1798,41,1,"14,0","46277,31482345062",,Bayern
K1457,58,1,"25,0","83377,64375055519",,Nordrhein-Westfalen
K1123,43,0,"27,0","38133,969015536415",,Baden-Württemberg
K1771,43,1,"24,0","61618,7453207506",,Bayern
K1687,52,1,"26,0","66931,62974555178",,Baden-Württemberg
K1188,66,0,"16,0","82714,59944611686",,Nordrhein-Westfalen
K1166,40,1,"51,0","49390,74203480306",,Nordrhein-Westfalen
K1377,38,1,"33,0","46307,32262091811",,Hessen
K1390,57,1,"56,0","84130,8361121828",,Nordrhein-Westfalen
K1800,61,0,"22,0","61255,99192759155",,Niedersachsen
K1851,66,1,"26,0","64549,900810909385",,Sachsen
K1117,37,0,"52,0","37026,70345003768",,Thüringen
K1287,37,0,"42,0","41986,47519256367",,Bayern
K1549,58,1,"17,0","63296,69034048032",,Baden-Württemberg
K1657,51,0,"46,0","67323,14564444456",,Berlin
K1328,55,0,"34,0","63084,95068724524",,Baden-Württemberg
K1618,66,1,"34,0","84640,6305637355",,Berlin
K1733,57,0,"31,0","81289,8813692296",,Berlin
K1692,35,1,"30,0","44388,74911272415",,Baden-Württemberg
K1797,43,1,"46,0","49717,79872938432",,Niedersachsen
K1628,35,0,"39,0","41206,23466424097",,Sachsen
K1769,62,0,"50,0","72706,64550804085",,Nordrhein-Westfalen
K1281,54,1,"35,0","72310,20137385467",,Berlin
K1946,60,1,"25,0","74192,86253782813",,Berlin
K1783,31,0,"20,0","40364,83289990759",,Niedersachsen
K1268,62,0,"29,0","77712,60659770755",,Hessen
K1353,55,1,"35,0","66068,47971681332",,Hessen
K1675,69,1,"30,0","78275,28507069028",,Thüringen
K1892,65,1,"43,0","75316,25436063616",,Nordrhein-Westfalen
K1179,56,1,"16,0","58982,6724132594",,Bayern
K1218,38,1,"26,0","46195,15314751832",,Bayern
K1740,70,1,"35,0","69727,40958594189",,Brandenburg
K1606,66,1,"35,0","79151,82942397373",,Nordrhein-Westfalen
K1209,40,0,"41,0","67881,40169559825",,Baden-Württemberg
K1219,47,0,"50,0","52534,52360667457",,Berlin
K1473,36,1,"36,0","41110,880943472206",,Baden-Württemberg
K1197,67,1,"46,0","75807,6559482063",,Baden-Württemberg
K1602,40,1,"48,0","39443,816099458985",,Niedersachsen
K1194,68,0,"31,0","64541,87849781089",,Hessen
K1441,47,0,"24,0","52745,12664226462",,Hamburg
K1984,30,0,"52,0","31232,137410671497",,Nordrhein-Westfalen
K1922,70,0,"49,0","83902,94581993156",,Niedersachsen
K1933,45,0,"25,0","59679,660948359415",,Thüringen
K1648,32,0,"41,0","28689,47225291241",,Sachsen
K1653,44,1,"34,0","59093,19528865111",,Berlin
K1199,47,0,"32,0","43409,22363053848",,Sachsen
K1116,62,0,"28,0","77682,56445966552",,Nordrhein-Westfalen
K1536,42,0,"42,0","34572,62891288065",,Niedersachsen
K1148,66,1,"41,0","77908,2919508747",,Nordrhein-Westfalen
K1147,53,1,"36,0","44536,66728238031",,Nordrhein-Westfalen
K1434,44,1,"45,0","48650,03750087601",,Sachsen
K1272,46,1,"28,0","52041,42325072015",,Bayern
K1884,62,1,"35,0","85386,11536571402",,Baden-Württemberg
K1642,45,1,"34,0","39956,11884255284",,Baden-Württemberg
K1840,55,1,"40,0","70713,57874370294",,Berlin
K1604,30,1,"49,0","42439,49390670383",,Berlin
K1283,53,1,"50,0","55541,95679712114",,Sachsen
K1688,56,1,"28,0","62958,236734754246",,Bayern
K1889,70,1,"37,0","76890,7480564395",,Berlin
K1698,55,1,"39,0","67803,19569847536",,Baden-Württemberg
K1282,32,1,"30,0","47052,41137944455",,Nordrhein-Westfalen
K1749,59,1,"43,0","70568,66378815504",,Bayern
K1815,38,0,"39,0","31258,40589789548",,Berlin
K1720,38,0,"39,0","42954,2984579802",,Baden-Württemberg
K1488,61,1,"44,0","84321,02890463859",,Baden-Württemberg
K1362,46,1,"38,0","60088,44886582324",,Bayern
K1839,46,1,"23,0","71444,45810073885",,Niedersachsen
K1440,34,1,"34,0","34255,8842775536",,Sachsen
K1656,47,1,"32,0","50532,94655950043",,Brandenburg
K1120,63,1,"42,0","79754,37807458994",,Nordrhein-Westfalen
K1108,57,1,"32,0","58633,96976384482",,Thüringen
K1516,65,0,"40,0","62351,08641991102",,Bayern
K1361,53,0,"34,0","72003,34639382867",,Nordrhein-Westfalen
K1556,63,1,"23,0","79995,43490693603",,Hessen
K1578,35,1,"41,0","33793,84665708341",,Berlin
K1802,61,1,"31,0","79736,84965500307",,Niedersachsen
K1498,69,1,"29,0","98883,18757367524",,Hessen
K1327,68,0,"44,0","92374,32383282809",,Baden-Württemberg
K1611,70,1,"38,0","92238,94765868138",,Bayern
K1672,57,0,"47,0","52972,58201462748",,Sachsen
K1525,36,1,"26,0","47024,3005565006",,Baden-Württemberg
K1429,41,0,"33,0","45176,5164943388",,Berlin
K1635,49,0,"43,0","52713,55868975444",,Baden-Württemberg
K1114,50,1,"38,0","43389,6662576152",,Niedersachsen
K1354,69,1,"51,0","79689,64512573004",,Bayern
K1127,41,0,"21,0","53765,35585459019",,Niedersachsen
K1461,49,1,"27,0","57703,96636766509",,Berlin
K1326,65,1,"33,0","73776,46692409588",,Niedersachsen
K1706,41,1,"32,0","56806,22119727098",,Bayern
K1871,34,1,"43,0","34204,31522228897",,Nordrhein-Westfalen
K1979,59,1,"21,0","85332,22542381042",,Nordrhein-Westfalen
K1633,55,1,"34,0","58756,75145483924",,Nordrhein-Westfalen
K1445,61,1,"40,0","81435,30184849372",,Niedersachsen
K1848,39,1,"20,0","63688,04086663379",,Berlin
K1624,51,0,"41,0","46823,71950733446",,Bayern
K1308,50,1,"29,0","67276,38391826894",,Hessen
K1342,45,0,"52,0","70632,18116424145",,Sachsen
K1198,33,1,"35,0","36719,10148652727",,Nordrhein-Westfalen
K1835,66,1,"27,0","75021,34800930391",,Bayern
K1545,63,0,"49,0","65737,34789246088",,Nordrhein-Westfalen
K1664,56,1,"15,0","66606,82240212626",,Bayern
K1389,42,1,"36,0","42036,4907884942",,Bayern
K1289,64,0,"44,0","82889,73040827588",,Baden-Württemberg
K1896,55,0,"29,0","55421,10091157522",,Niedersachsen
K1592,59,0,"30,0","59731,06742753732",,Nordrhein-Westfalen
K1258,63,1,"30,0","78072,77390257167",,Bayern
K1180,65,1,"45,0","91807,01049333796",,Nordrhein-Westfalen
K1761,53,1,"48,0","65662,1492493404",,Thüringen
K1736,36,1,"23,0","29607,14160492055",,Bayern
K1382,56,1,"39,0","70410,79805191848",,Bayern
K1173,47,0,"51,0","63119,27077514208",,Bayern
K1930,42,1,"30,0","44380,59493320296",,Bayern
K1293,56,1,"31,0","71443,21885328605",,Bayern
K1376,66,0,"26,0","66735,69174215138",,Nordrhein-Westfalen
K1767,30,1,"50,0","40283,17451896094",,Baden-Württemberg
K1816,49,1,"29,0","54140,59545614648",,Baden-Württemberg
K1341,33,0,"52,0","36223,99905839761",,Baden-Württemberg
K1193,68,0,"46,0","81230,95237363465",,Hessen
K1862,57,1,"43,0","65786,36558907609",,Thüringen
K1222,43,0,"29,0","59089,74089652931",,Sachsen
K1230,39,1,"55,0","58806,417593735336",,Niedersachsen
K1836,68,1,"43,0","80798,29331494017",,Nordrhein-Westfalen
K1394,36,0,"35,0","38942,80911718784",,Nordrhein-Westfalen
K1343,36,0,"36,0","46373,45798243152",,Bayern
K1105,42,0,"35,0","57149,49800655036",,Hessen
K1986,42,0,"38,0","52174,79091303806",,Bayern
K1572,42,1,"28,0","46178,95708275883",,Hessen
K1932,34,0,"45,0","26418,801247455667",,Sachsen
K1500,41,1,"41,0","55038,29982685805",,Hessen
K1636,62,0,"37,0","71314,97859749506",,Sachsen
K1231,33,0,"25,0","49527,66481574445",,Baden-Württemberg
K1383,54,0,"39,0","53583,84502967968",,Nordrhein-Westfalen
K1796,39,1,"29,0","56179,01757390302",,Nordrhein-Westfalen
K1221,54,1,"40,0","69210,98341641495",,Nordrhein-Westfalen
K1333,33,1,"52,0","28556,82030061056",,Nordrhein-Westfalen
K1727,32,0,"28,0","40946,27928872359",,Hessen
K1760,50,1,"37,0","56452,50312454669",,Bayern
